_id,_index_map,households.house_ownership,households.sanitary_ownership,households.neighborhood_description,households.date_updated,households.no_of_families_in_the_household,households.no_of_people_in_the_household,households.type_of_house
00066299-81c1-4311-970b-8f82dca8640b,0,Owned,Owned,Rural,05/09/2018 at 10:00:05 PM EDT,,,Concrete-based
000799a5-7aeb-47d2-963c-30c566b3e0da,0,Owned,Owned,Rural,04/13/2018 at 10:59:50 AM GMT+08:00,,,Mixed wood and concrete
000a8037-e95d-4aec-bce3-12004cdfdb47,0,Living with relatives/friends,Owned,Rural,05/09/2018 at 08:42:16 AM GMT+08:00,,,Concrete-based
0024006e-d60a-482f-bf98-142b073f395a,0,Owned,Owned,Rural,04/18/2018 at 08:45:15 AM GMT+08:00,,,Concrete-based
002c16aa-5f96-4777-8f09-7581d4bb250b,0,Owned,Owned,Urban,04/24/2018 at 01:22:43 AM EDT,,,Mixed wood and concrete
003b3ade-437c-4367-b8dc-1a3f11d24db7,0,Owned,Owned,Urban,05/21/2018 at 10:27:23 AM GMT+08:00,,,Wood-based
004dae03-e038-4819-a4d5-571178ea928c,0,Owned,Owned,Rural,05/09/2018 at 10:30:54 AM GMT+08:00,,,Mixed wood and concrete
004ff0ae-4301-473b-81ff-3dc6b42cdd9f,0,Owned,Owned,Rural,04/13/2018 at 10:12:46 AM GMT+08:00,,,Concrete-based
006552f6-6047-4225-b7a2-fe6d548018b3,0,Owned,Owned,Rural,04/10/2018 at 09:37:24 AM GMT+08:00,,,Mixed wood and concrete
00753acf-6095-406e-945a-8a4f2bd53356,0,Owned,Owned,Rural,04/26/2018 at 12:56:56 AM EDT,,,Concrete-based
0081689c-12ad-43b8-96d4-5c122134b894,0,Owned,Owned,Suburban,05/23/2018 at 09:48:47 AM GMT+08:00,,,Concrete-based
009446e6-af8c-4739-97db-1ad19302c150,0,Owned,Owned,Rural,04/26/2018 at 09:54:49 AM GMT+08:00,,,Mixed wood and concrete
00aad015-cf59-4595-9234-4406fbbe6d38,0,Owned,Owned,Rural,04/20/2018 at 10:38:02 AM GMT+08:00,,,Bahay-kubo
00acd0f6-da26-4d5e-bde9-452d9ed29d26,0,owned-niece,Owned,Rural,12/31/2014 at 07:57:23 PM EST,,,Concrete-based
00b631d4-bb23-47d1-b2a7-caf8ffbae284,0,Owned,Owned,Rural,03/21/2018 at 09:08:31 AM GMT+00:00,,,Wood-based
00d20096-4fa3-42b8-a26f-9e4b78793d93,0,Owned,Owned,Rural,05/07/2018 at 10:27:28 AM GMT+08:00,,,Concrete-based
00da80fa-98b1-48cb-9fcb-ce74f3f8439b,0,Owned,Owned,Urban,05/21/2018 at 10:27:23 AM GMT+08:00,,,Wood-based
00da9173-6910-4fe3-af8e-c727b72a9ee7,0,Owned,Owned,Rural,05/03/2018 at 10:16:55 AM GMT+08:00,,,Mixed wood and concrete
00dfb157-b9c7-4832-a113-4ee84448e1a4,0,Owned,Owned,Rural,01/01/2016 at 11:59:07 AM GMT+08:00,,,Mixed wood and concrete
00e0dcdb-ca08-4569-95f7-3a53cb6c44fd,0,Owned,Owned,Rural,04/20/2018 at 03:14:40 AM EDT,,,Wood-based
00fb4135-7b2e-4352-a51a-83e98d6da783,0,Owned,Owned,Rural,04/16/2018 at 02:09:44 PM GMT+08:00,,,Mixed wood and concrete
00fcd939-16d7-4254-9658-d875fb94abf5,0,Owned,Owned,Urban,05/21/2018 at 11:05:18 AM GMT+08:00,,,Mixed wood and concrete
010d3e60-c604-4ade-a2af-bcc4062ec1d2,0,Owned,Owned,Rural,04/13/2018 at 07:07:39 AM GMT+00:00,,,Concrete-based
012834fd-a92a-4b66-90d7-bcb83bbf3894,0,Owned,Owned,Rural,05/17/2018 at 08:56:56 AM GMT+08:00,,,Mixed wood and concrete
0141bd46-a629-4c0f-b224-a1df96511815,0,Owned,Owned,Rural,05/15/2018 at 08:35:53 AM GMT+08:00,,,Mixed wood and concrete
0147436c-a44b-438f-8c80-3db2e3be8f36,0,Owned,Owned,Rural,04/16/2018 at 05:33:59 AM GMT+00:00,,,Concrete-based
014ec510-58fd-4c0c-8346-54fdbd66c3b9,0,Owned,Owned,Urban,05/11/2018 at 09:27:28 AM GMT+08:00,,,Concrete-based
0150db5a-7066-4540-a3eb-162143ccd20d,0,Owned,Owned,Rural,04/17/2018 at 10:01:37 AM GMT+08:00,,,Mixed wood and concrete
0161843a-7ee2-41e4-b07e-15e60392fad1,0,Owned,Owned,Rural,03/21/2018 at 08:58:47 AM GMT+00:00,,,Wood-based
016346a5-1799-4932-a0c8-a9fe7ecdb498,0,Owned,Owned,Rural,05/07/2018 at 09:31:28 PM EDT,,,Wood-based
01670ca9-d53c-4f6d-9e9a-1b03ac41db1f,0,Owned,Owned,Rural,05/07/2018 at 01:17:16 PM GMT+08:00,,,Concrete-based
016c53a9-d947-490d-97b7-59db682088b5,0,Owned,Owned,Rural,05/22/2018 at 08:48:09 PM EDT,,,Concrete-based
018ec7ef-e79b-439f-9940-89c0d9b308fe,0,Owned,Owned,Rural,05/17/2018 at 08:56:56 AM GMT+08:00,,,Mixed wood and concrete
01988cca-cd45-44cd-9a3f-8c13b8ef3286,0,Owned,Owned,Rural,05/07/2018 at 10:17:57 AM GMT+08:00,,,Wood-based
0198f726-c4e0-4495-99eb-79e9466f3c46,0,Owned,Owned,Urban,05/21/2018 at 09:59:51 PM EDT,,,Concrete-based
01a93665-39e4-472a-bc10-f6d7d8124287,0,Owned,Owned,Rural,04/16/2018 at 02:40:52 AM GMT+00:00,,,Concrete-based
01aef973-97fc-4200-98ff-76b03002703d,0,Owned,Owned,Rural,04/25/2018 at 10:28:33 PM EDT,,,Concrete-based
01b9bf85-800e-4537-b07a-233ed4ca7a2f,0,Owned,Owned,Rural,05/10/2018 at 09:32:16 AM GMT+08:00,,,Mixed wood and concrete
01c71241-fc22-4ad7-83ce-a59be901a108,0,Owned,Owned,Rural,05/06/2018 at 09:35:11 PM EDT,,,Concrete-based
01c83ac6-7585-402b-9fa0-f9585e013afb,0,Owned,Owned,Rural,05/08/2018 at 11:33:12 PM EDT,,,Mixed wood and concrete
01d2df4d-f031-4aff-87da-590c4d5fa5ef,0,Owned,Owned,Rural,04/16/2018 at 11:41:51 AM GMT+08:00,,,Mixed wood and concrete
01d72f57-5e8d-4a37-999c-972c300889c8,0,Owned,Owned,Rural,04/18/2018 at 08:27:32 AM GMT+08:00,,,Bahay-kubo
01da7737-fb80-4533-84cd-adb65703c682,0,Owned,Owned,Rural,04/18/2018 at 09:48:22 AM GMT+08:00,,,Mixed wood and concrete
01e1049a-00e3-4cac-8753-99ed7e969f0d,0,they own the house but they rent the land,Owned,Rural,04/18/2018 at 08:27:13 AM GMT+08:00,,,Mixed wood and concrete
01e2e7db-1f76-477d-9542-763e832eb442,0,Owned,Owned,Rural,04/30/2018 at 09:49:44 AM GMT+08:00,,,Mixed wood and concrete
01e9e00f-1bbd-4b16-b190-1576247debd2,0,Owned,Owned,Rural,05/10/2018 at 08:33:21 AM GMT+08:00,,,Concrete-based
01f10e18-6393-479d-be46-5c316260d24e,0,Owned,Owned,Rural,04/27/2018 at 09:53:01 AM GMT+08:00,,,Mixed wood and concrete
01f2a64d-7114-4294-a5ff-fee7884a4dad,0,Owned,Owned,Rural,05/09/2018 at 11:11:56 AM GMT+08:00,,,Mixed wood and concrete
01f550a7-f571-497f-a5e5-b8a20b498a3b,0,Owned,Shared,Rural,03/23/2018 at 02:14:53 PM GMT+08:00,,,Concrete-based
02064ffe-f4f8-4b51-a6f4-daa378f2ad5b,0,Owned,Owned,Rural,05/07/2018 at 09:09:58 PM EDT,,,Concrete-based
02172c7a-cffd-4f31-b7da-42291567c06e,0,Owned,Owned,Rural,05/03/2018 at 09:02:09 AM GMT+08:00,,,Mixed wood and concrete
021af78a-1a7e-4c1f-939f-1a3d9616d893,0,Owned,Owned,Rural,05/08/2018 at 09:11:16 AM GMT+08:00,,,Concrete-based
021c261a-bd79-4254-b53d-9bc5a7b8436a,0,Owned,Owned,Rural,05/10/2018 at 09:05:31 AM GMT+08:00,,,Mixed wood and concrete
022168e0-fa94-4e8f-9e21-66528a6632ce,0,Owned,barangay hall comfort room,Rural,04/18/2018 at 09:19:22 AM GMT+08:00,,,Bahay-kubo
0231ac9d-684f-4381-87f5-e10400e61222,0,Owned,Owned,Rural,04/16/2018 at 05:56:47 AM GMT+00:00,,,Concrete-based
0235faf0-b38e-4da1-a3fb-adbcdc3e1d72,0,Owned,Owned,Rural,05/10/2018 at 12:15:10 PM GMT+08:00,,,Concrete-based
023faa49-2e0e-4586-af3b-b13665ff826d,0,Owned,Owned,Rural,05/21/2018 at 09:18:31 PM EDT,,,Mixed wood and concrete
02438132-9b20-498d-a845-c3de56a3d6e3,0,Owned,Owned,Rural,05/11/2018 at 09:15:25 AM GMT+08:00,,,Concrete-based
024593c4-7242-46e4-92c1-fa6d10d03f80,0,Living with relatives/friends,Shared,Rural,05/02/2018 at 11:57:54 PM EDT,,,Mixed wood and concrete
024b2183-ac27-418d-9fe7-b902e881ce3d,0,Owned,Owned,Urban,05/11/2018 at 09:13:05 AM GMT+08:00,,,Concrete-based
024dfc90-c161-4a2e-a2dc-a90088665749,0,Owned,Owned,Rural,04/13/2018 at 06:42:24 AM GMT+00:00,,,Concrete-based
025b5666-0398-4787-a2de-8bd22bc79836,0,Owned,Owned,Rural,05/09/2018 at 09:22:35 PM EDT,,,Concrete-based
02668a2e-1f4f-431e-b831-42ddebab68f6,0,Owned,Owned,Rural,05/11/2018 at 09:05:24 AM GMT+08:00,,,Concrete-based
027c9c59-7ede-440a-b8c9-b5c6126b7d8f,0,Owned,Owned,Rural,05/21/2018 at 09:05:31 PM EDT,,,Concrete-based
02929881-0937-4cbd-b490-26646f7a8f9b,0,Owned,Owned,Rural,05/09/2018 at 09:35:03 PM EDT,,,Concrete-based
029525b6-b58c-4ecf-9d24-e5dde923264c,0,Owned,Owned,Rural,04/27/2018 at 09:13:58 AM GMT+08:00,,,Concrete-based
0299582e-e5e5-45e2-b855-accb23c4fb9c,0,Owned,Owned,Rural,04/20/2018 at 09:22:51 AM GMT+08:00,,,Wood-based
029d857b-c017-40ee-8a61-d6beba4ed34f,0,Owned,Owned,Rural,04/10/2018 at 02:32:54 AM GMT+00:00,,,Mixed wood and concrete
02ac25eb-cff6-481f-aee4-c6c9b7e76bd4,0,Owned,Owned,Rural,05/10/2018 at 09:47:19 AM GMT+08:00,,,Mixed wood and concrete
02b0955b-c42b-468b-aeb6-3a4638375964,0,Owned,Owned,Rural,04/13/2018 at 01:32:45 PM GMT+08:00,,,Concrete-based
02c4d333-4ed3-44a1-8290-d46a4c3a6cf8,0,Owned,Owned,Rural,04/24/2018 at 10:20:15 AM GMT+08:00,,,Mixed wood and concrete
02c9c57b-3be3-4326-8160-1985c35d7414,0,Owned,Owned,Rural,04/20/2018 at 09:57:15 AM GMT+08:00,,,Concrete-based
02ccc4f0-e9e7-4ba6-8b3d-08745909ea83,0,Owned,Owned,Rural,05/08/2018 at 09:20:28 PM EDT,,,Concrete-based
02d660c4-0a56-4787-b588-84845cc7ce3b,0,Living with relatives/friends,Owned,Rural,04/23/2018 at 11:30:35 PM EDT,,,Concrete-based
02e0040a-6d7e-4bea-969a-d91bb2dce9cf,0,Owned,Owned,Rural,04/24/2018 at 01:23:12 AM EDT,,,Mixed wood and concrete
02e47d3f-682f-46c9-9aa3-7ac80bf3b87f,0,Owned,Owned,Rural,04/16/2018 at 05:10:54 AM GMT+00:00,,,Concrete-based
02e5a2be-d949-4657-b13d-a3f2903b3c32,0,Owned,Owned,Rural,05/10/2018 at 10:16:22 PM EDT,,,Mixed wood and concrete
02e74547-cd81-4d77-a6c2-5f2532493ff2,0,house=owned     land=relatives,Owned,Rural,04/13/2018 at 06:44:24 AM GMT+00:00,,,Wood-based
02ed5e84-000d-42f4-b1ad-3a06a7d05f1a,0,Owned,Owned,Rural,03/20/2018 at 11:44:17 AM GMT+08:00,,,Mixed wood and concrete
02f236cf-4d85-4400-b6f8-70d53769094e,0,Owned,Owned,Rural,04/24/2018 at 01:32:39 PM GMT+08:00,,,Wood-based
0304dd1f-d15a-4241-9e09-fca8b986b05b,0,Owned,Owned,Rural,05/07/2018 at 09:07:09 PM EDT,,,Concrete-based
0326ef73-2c93-456f-a79f-711c09d3180b,0,Owned,Owned,Rural,05/10/2018 at 10:09:12 AM GMT+08:00,,,Concrete-based
0333039b-7b5a-444a-830f-c590c335059f,0,Owned,Owned,Rural,04/17/2018 at 08:42:09 AM GMT+08:00,,,Concrete-based
03338413-4200-40b5-bf50-772b2ed2de06,0,Owned,Owned,Rural,05/09/2018 at 10:28:47 PM EDT,,,Concrete-based
0335e089-7430-471e-b468-d5249cbdf8f5,0,Owned,Owned,Rural,04/26/2018 at 10:02:47 PM EDT,,,Concrete-based
0368f3b8-31bc-4437-81b3-fef5ccea1367,0,Owned,Owned,Rural,05/06/2018 at 09:59:01 PM EDT,,,Wood-based
03733ce3-c11f-4d25-a1a7-598c3c1ac306,0,Owned,Owned,Rural,04/13/2018 at 03:17:58 PM GMT+08:00,,,Wood-based
0377bab0-0108-4bf3-bb43-d88a17ec8e9f,0,Owned,Owned,Rural,03/21/2018 at 04:25:03 PM GMT+08:00,,,Wood-based
037a29b8-9aaa-4d99-ae44-3657c103b973,0,Owned,Owned,Rural,04/27/2018 at 08:45:48 AM GMT+08:00,,,Concrete-based
0395c291-703d-4e82-b5bc-d02ed6bc6355,0,Living with relatives/friends,Owned,Rural,05/21/2018 at 09:01:55 AM GMT+08:00,,,Concrete-based
03a3b1e2-89d3-4624-baea-3ed0960af779,0,Owned,Owned,Rural,05/04/2018 at 10:57:27 AM GMT+08:00,,,Mixed wood and concrete
03a5c8be-c678-44ab-950f-6cb99831251b,0,Owned,Owned,Rural,05/06/2018 at 09:26:06 PM EDT,,,Wood-based
03ae3470-c325-4087-b44d-1764aee9ac40,0,Owned,Owned,Rural,05/10/2018 at 10:16:22 PM EDT,,,Mixed wood and concrete
03b5ed92-34d7-4b93-af8b-77bbf0f795cc,0,Owned,Owned,Rural,05/07/2018 at 08:55:12 PM EDT,,,Mixed wood and concrete
03bcc41e-8283-4436-9ae8-a77aa579af4b,0,Owned,Owned,Rural,04/16/2018 at 02:01:54 PM GMT+08:00,,,Concrete-based
03cb851a-f439-4483-b610-3bba56ed990d,0,Owned,Owned,Rural,04/20/2018 at 01:34:33 PM GMT+08:00,,,Mixed wood and concrete
03cdcda4-725e-48e5-a6a9-0beb7d6401f5,0,Owned,Owned,Rural,04/17/2018 at 09:10:28 AM GMT+08:00,,,Concrete-based
03e655cc-da47-456b-a20a-22bebd9e14d7,0,Living with relatives/friends,Owned,Rural,05/21/2018 at 08:43:24 AM GMT+08:00,,,Concrete-based
03edb08f-3d89-4c1a-8ce7-b5b33af462bf,0,Owned,Owned,Rural,04/30/2018 at 11:56:10 AM GMT+08:00,,,Bahay-kubo
03f148f2-50cc-421d-858c-dd857cc1690a,0,Owned,Owned,Rural,05/09/2018 at 09:09:52 PM EDT,,,
03fc0c9c-33dc-427a-bc95-e473f9530bc6,0,care taker,Owned,Rural,04/27/2018 at 02:10:16 PM GMT+08:00,,,Bahay-kubo
03ffa014-52ad-47a4-a891-dc78920d8277,0,they own the house but they rent the land,Owned,Rural,04/18/2018 at 08:27:13 AM GMT+08:00,,,Mixed wood and concrete
0406167d-1419-4f9e-8c04-7532b19b4855,0,Owned,Owned,Rural,04/24/2018 at 01:58:56 PM GMT+08:00,,,Mixed wood and concrete
0408b73b-fbdb-454a-9ca4-f04e4b413d6c,0,Owned,Owned,Rural,04/13/2018 at 10:16:57 AM GMT+08:00,,,Concrete-based
0409e936-c8bf-4702-9ff8-8993c78e0a22,0,Living with relatives/friends,Shared,Rural,03/20/2018 at 10:07:45 AM GMT+08:00,,,Wood-based
040aa115-f171-4b9c-befc-de8fba39fd0b,0,Owned,Owned,Rural,04/18/2018 at 08:17:45 AM GMT+08:00,,,Mixed wood and concrete
041167c6-f3d3-4650-b275-2574a0f63be0,0,Owned,Owned,Rural,03/23/2018 at 02:26:59 PM GMT+08:00,,,Concrete-based
0413059f-f307-4619-a4a7-1d4a344123f1,0,Owned,Owned,Rural,04/20/2018 at 09:56:54 AM GMT+08:00,,,Bahay-kubo
04148911-0a44-4451-b43c-78ddb5195965,0,Living with relatives/friends,owned by relative,Rural,04/18/2018 at 08:27:08 AM GMT+08:00,,,Wood-based
042f6e80-81b5-4785-b110-16088fdd5473,0,Owned,Owned,Rural,05/17/2018 at 08:56:56 AM GMT+08:00,,,Mixed wood and concrete
043933e2-4fd6-48f5-9f60-9033199d1b77,0,Owned,Owned,Rural,04/23/2018 at 11:19:35 PM EDT,,,Mixed wood and concrete
043ec6de-a493-4669-8969-72ee9713095a,0,Owned,Owned,Rural,05/08/2018 at 11:23:09 PM EDT,,,Mixed wood and concrete
044d898a-2e47-427b-bdd8-01b017e67ae7,0,Owned,Owned,Rural,05/12/2018 at 12:07:06 PM GMT+08:00,,,Concrete-based
04612f73-f230-490c-a587-eb0c8d3da7ec,0,Owned,Owned,Rural,05/06/2018 at 10:13:15 PM EDT,,,Concrete-based
046973d0-a941-41b0-935f-1cb66801afe4,0,Owned,Owned,Rural,05/08/2018 at 09:27:39 PM EDT,,,Mixed wood and concrete
047d5ee1-5dba-4fc0-9356-a6d125c58784,0,Owned,Owned,Suburban,03/21/2018 at 04:24:07 PM GMT+08:00,,,Mixed wood and concrete
0485248d-4f6e-49e3-aaeb-eca8127af182,0,Owned,Owned,Rural,05/09/2018 at 10:03:20 PM EDT,,,Concrete-based
048daafc-b06c-437c-a0be-c71cff1987f4,0,Living with relatives/friends,Owned,Rural,04/18/2018 at 08:54:52 AM GMT+08:00,,,Mixed wood and concrete
04990734-4fe2-48c4-b71c-719b835df0ee,0,Owned,Shared,Urban,05/21/2018 at 08:41:47 PM EDT,,,Bahay-kubo
04990d55-2f46-4a72-bfd7-b7a8ece3f710,0,Living with relatives/friends,Owned,Rural,05/08/2018 at 08:56:46 AM GMT+08:00,,,Concrete-based
04a8bdf1-653e-4b17-a534-c9308ad489e4,0,Owned,Owned,Rural,04/10/2018 at 02:41:34 PM GMT+08:00,,,Concrete-based
04a8f19c-20e7-44aa-af74-57a532b477ee,0,Owned,Owned,Rural,04/10/2018 at 01:22:13 PM GMT+08:00,,,Concrete-based
04be6a8a-511b-4319-8c22-a7ecf26ac57e,0,Owned,Owned,Rural,03/21/2018 at 09:31:50 AM GMT+00:00,,,Concrete-based
04dcf2c3-d31a-497b-ac85-d8372f3d3096,0,Owned,Owned,Rural,04/17/2018 at 11:14:03 AM GMT+08:00,,,Concrete-based
04f0c4dd-61a8-4574-aa7b-1148ef49c878,0,Living with relatives/friends,Owned,Rural,05/15/2018 at 10:21:25 AM GMT+08:00,,,Concrete-based
05112588-50db-4ea1-baac-7439d5c30d73,0,Informal settlers,Owned,Rural,04/13/2018 at 02:44:02 PM GMT+08:00,,,Bahay-kubo
051ba006-17df-4b9e-9997-dc71489ac17c,0,Owned,Owned,Rural,05/11/2018 at 08:50:34 AM GMT+08:00,,,Mixed wood and concrete
051ff81c-6f96-4491-b817-c9c6b6605aab,0,Owned,Owned,Rural,04/24/2018 at 11:05:53 AM GMT+08:00,,,Wood-based
0521a9b3-ed2a-4397-ade0-b344e6f05d36,0,Owned,Owned,Rural,04/10/2018 at 10:39:35 AM GMT+08:00,,,Mixed wood and concrete
053a6b02-b9d4-46b7-8197-d332519007ca,0,Owned,Owned,Rural,05/12/2018 at 12:25:01 PM GMT+08:00,,,Mixed wood and concrete
05403476-75c4-4d06-b3c0-315652e8d2af,0,Owned,Owned,Rural,04/20/2018 at 01:57:29 PM GMT+08:00,,,Bahay-kubo
05457272-503a-48a9-bb7d-bce179879bc7,0,Owned,Owned,Rural,05/16/2018 at 09:06:50 AM GMT+08:00,,,Concrete-based
054e5058-5a7e-4b85-9479-a4117b8fbb7b,0,Owned,Owned,Rural,05/03/2018 at 10:06:31 AM GMT+08:00,,,Concrete-based
05509072-cb22-4ff3-b597-60dcf3e5f0aa,0,Owned,Owned,Rural,05/21/2018 at 10:08:41 PM EDT,,,Mixed wood and concrete
056585fc-a69d-4c3f-b314-23bd6504a6bb,0,Informal settlers,Owned,Rural,05/05/2018 at 04:50:02 PM GMT+08:00,,,Wood-based
057f4363-32cd-4908-b505-7b8b8ac654d5,0,Owned,Owned,Rural,05/04/2018 at 09:36:52 AM GMT+08:00,,,Bahay-kubo
058396e8-5715-4a9a-b5ae-c3532ec7c781,0,Owned,Owned,Rural,04/13/2018 at 02:01:11 PM GMT+08:00,,,Mixed wood and concrete
0596179d-3ab2-4123-8bc7-7e6095c369ae,0,Owned,Owned,Rural,04/10/2018 at 06:06:04 AM GMT+00:00,,,Wood-based
05986b76-6283-4769-abf9-24214336aa1c,0,Owned,Owned,Rural,05/10/2018 at 12:03:04 AM EDT,,,Wood-based
059ff53e-6e75-47b5-9bc4-10d04ca5fd33,0,Owned,Owned,Rural,04/13/2018 at 05:38:56 AM GMT+00:00,,,Mixed wood and concrete
