_id,_index_map,households.sanitary_type
000210ae-ddfd-42f2-b79b-01908c4b73ef,0.0,Pail
0006703c-78bf-4ba6-8596-2ce94f061566,0.0,Pail
000e9901-8d89-4ca7-a5eb-2beb487b3ccd,0.0,Flush
00147190-88c0-4a59-bd3f-71304bb96b1c,0.0,Pail
001676fa-61a7-41c3-a401-66dbd7845b81,0.0,Pail
001fbed0-7ed4-49a7-811d-ce4d3fa3e574,0.0,Pail
0027c336-46f8-4130-bd8b-ede85b5e1675,0.0,Pail
004a44a9-638e-4f7f-8e9d-456068613ec5,0.0,Pail
004b40b6-493f-416b-815d-fdca40b04a85,0.0,Pail
00790a6e-50b7-4f6c-a8a8-e57566d8b3d2,0.0,Pail
007a2cb4-0e62-41b1-98cb-6432c3afea3c,0.0,Flush
009765e4-d2e3-4b03-9702-34dcb303fcbc,0.0,Pail
009a8b0b-1811-4d56-8f96-1c05be713097,0.0,Pail
009d6e1d-fad4-4586-b8eb-14dfe9ff51e1,0.0,Pail
00a79727-f05e-44ae-a926-c1af7c74502e,0.0,Pail
00abdedc-6c75-46df-a75a-bd68d81eac46,0.0,Pail
00af5d24-ab98-4c1c-8441-5e68dddc6570,0.0,Flush
00afaa9d-b264-42e6-8ca1-ba2acaf3baec,0.0,Pail
00b048c4-3073-45cc-b7ca-baab7c276a0d,0.0,Pail
00b5dc40-846d-4a22-8f48-add65b0f8793,0.0,Flush
00bf1ecc-177f-4c89-9225-5d47c7800612,0.0,Pail
00c7a5f1-7196-4431-9d15-8db99ab954f4,0.0,Pail
00cc2613-df8a-4651-8f4d-0a9314ba7981,0.0,Pail
00e20ec4-055f-4144-8cb8-4743df0db71f,0.0,Pail
00f00743-ce33-479c-b28e-34b6bf466563,0.0,Pail
00f77c5c-d923-4e73-bbc2-5e9aacbf5e98,0.0,Pail
00fe8bad-f32f-43a1-9cf5-16bb23cb5f71,0.0,Pail
01077520-28c5-43c0-b1da-2dc16e12fe8a,0.0,Flush
010e72be-565d-41d1-9e22-ba20ca218f12,0.0,Pail
011484aa-eddb-4ac0-b07a-4892bf195918,0.0,Pail
011617b0-f965-4411-893d-be33cfa3ae36,0.0,Pail
01182106-b8ba-4732-886c-79f0581de8a2,0.0,Flush
01212968-fc1d-4f00-b0c0-0d005b8827c5,0.0,Flush
0124c1c7-0386-4ef8-b56f-be69545341ec,0.0,Pail
012be0bc-f871-44aa-b582-c98aafa7754a,0.0,Flush
013d53de-5def-4457-8828-7b37255b845b,0.0,Pail
0149c3cf-5b98-46b3-b621-58bfea987045,0.0,Flush
0169550d-dc1a-4518-ae75-8bb91aae4484,0.0,Flush
01718c9f-e216-49ea-a405-97b33acbd838,0.0,Pail
01735ae3-5a4b-447b-861c-9d6d09d4a200,0.0,Flush
017f75c9-bdd8-4e2d-9187-9e09d983ceb8,0.0,Pail
018174b8-32bf-41a4-b791-65bd6b714b3a,0.0,Pail
01840c54-ac87-4047-9f43-7dddb476e1cc,0.0,Pail
0186cf81-8820-49d6-9d96-c4ab2dc48501,0.0,Pail
018a6bc5-a7df-4364-b3d4-07e36244fdc8,0.0,Pail
018b16dc-1bcd-4de8-ba82-3be2ce99cddb,0.0,Pail
0195700d-521e-4ef7-a432-5a217e0c796a,0.0,Pail
01a65bf1-fc95-42c0-83f8-f80c3db2ee6d,0.0,Open Pit
01aac325-6546-468a-8925-b4f09efa9281,0.0,Pail
01ba711e-0c9d-4b9d-be87-4bad215e3bc2,0.0,Pail
01bdee5c-6041-4dda-886d-901a8cee4691,0.0,Pail
01f8a26f-5c54-47dc-bab6-1467f27c8fa4,0.0,Pail
01fff494-be42-49f6-8d46-c5844e5ae63a,0.0,Pail
0229d857-2ea9-4ba1-9b68-40ab13642d1a,0.0,Pail
0238d4c0-889a-4fee-a269-398c21ccb4a8,0.0,Pail
0247c4af-0f4a-47e6-8bd3-1f7778ff1ae8,0.0,Flush
0253054c-2e7f-462f-8c20-790a1d6705fb,0.0,Pail
025979f9-91d0-46d0-92ea-bbd66ffbcd6a,0.0,Flush
026ca4db-d1d8-49d8-a9c9-713686ad2adf,0.0,Flush
0275368d-7c75-44c8-8fa2-bd07e1f06352,0.0,Pail
0281184c-20a1-4bef-ac48-1805c8e09426,0.0,Pail
02923da0-3a3c-4158-9eb0-248554eac0c5,0.0,Flush
029a9b57-e067-4397-bac4-0dc3150c7e22,0.0,Pail
02c5dea8-9dc0-4688-ae3d-59c02d09d6e5,0.0,Pail
02e09772-c785-4d97-a4a0-fd83584b066d,0.0,Flush
02e0d5ab-1e53-4362-8794-fc9371c749d6,0.0,Pail
02f10292-c850-4b56-9507-5fae64afedd5,0.0,Flush
02f397d8-ff9f-442b-b30b-390388d8c95c,0.0,Pail
02fcdb67-f52d-44ae-a234-237fd380cd63,0.0,Pail
02fe937a-3d44-4046-ae4c-29b1ee280372,0.0,Pail
030ff055-38c5-4bbc-a0c2-12badd183591,0.0,Flush
031e24b4-0c17-47f4-8fe0-02d1f7eaae42,0.0,Pail
03283766-2402-4e9d-8e5e-4ea8f25a9d1e,0.0,Pail
03309524-7de2-447a-955c-5873f49dcdc6,0.0,Pail
0335a43c-6d99-4240-bcc7-755a62ff776b,0.0,Pail
033db314-5686-4c27-b4bf-e3e7c329a03d,0.0,Pail
03467b78-28a9-48f8-b64a-1e70505865c2,0.0,Pail
0349c03d-02e1-44ef-b273-7b30a12405ba,0.0,Pail
036e80b8-e4ae-4945-a18f-b6446eb58063,0.0,Pail
0378141f-9945-47b5-bb45-f2fe466e7926,0.0,Pail
0379a6fc-cf4f-40a2-8145-0e9c57d5c35f,0.0,Pail
038db182-ec6f-4594-ae95-08f180948f0f,0.0,Pail
03a0c829-29b6-4801-ba4e-e96dd7fccd07,0.0,Pail
