_id,_index_map,households.amenities_present_in_house
0005038a-b9b9-4fe6-ac06-2ce39d6da621,0.0,Electricity
0014f56d-c217-4fe9-afa4-291a0c0a23d2,0.0,Electricity
001522fc-183a-468e-a314-dbe99f5dd008,0.0,Electricity
001e0790-bd7c-410f-8950-8497bffa4338,0.0,Electricity
00330179-3d26-4f92-9013-70f627bbe900,0.0,Electricity
0048951a-4c34-41fc-8020-21466e1ede8f,0.0,Water Supply
004a2308-caf7-4cef-9d29-56fbc3016f43,0.0,Electricity
004e61ac-d7f6-449e-ab6b-43426429bb64,0.0,Electricity
00524edf-3e96-4388-932c-89ab9d1890a4,0.0,Electricity
005b7f2a-800c-4463-bced-dfe17d6eabf0,0.0,Electricity
0086a6fb-852a-424f-840d-dab9725e4aa5,0.0,Electricity
008def4c-5ed2-40c4-b6ef-5957e284c4bd,0.0,Electricity
008fd929-6f1a-4223-a33e-669d849ac949,0.0,Electricity
00933068-b032-46bc-bb0f-ab687b164e83,0.0,Electricity
00a0c2e1-69c3-483c-8931-c6da5ef6b786,0.0,Electricity
00af9a9e-a746-40a5-b9f5-0dd9a6b4e3b4,0.0,Electricity
00b013fb-d10e-4830-a6e1-7dff6b6352bf,0.0,Electricity
00bcd077-7e67-45dd-b8c0-dbf1bf514fcb,0.0,Electricity
00bdda3c-5850-4bd0-af8d-5fb7722cad67,0.0,Electricity
00c0a013-0751-402e-b79b-405c786a70e8,0.0,Electricity
00e56ade-24e0-4f70-aa7b-2c0b20796d61,0.0,Electricity
0105746e-4e42-45aa-be3d-5022d7e97c55,0.0,Electricity
011941f8-9338-4a1d-878a-71232aea4e51,0.0,Electricity
0131b73b-2ee1-4550-9664-c5fc2bca90f0,0.0,Electricity
0133dee4-cb58-4411-8d9f-0933c6f8654e,0.0,Electricity
0147add0-167b-4047-ae4e-dec044dcf9ad,0.0,Electricity
014d6a09-171b-45bb-9c86-82e3cad2be2e,0.0,Electricity
0150de97-85c2-4238-bd83-e5a34122f5f6,0.0,Electricity
015afdf9-a43c-494b-b567-46348b8fdd0e,0.0,Electricity
01609550-b29f-4137-8e69-2f66770c205c,0.0,Electricity
0166128e-e769-45ec-a817-61c014fb3cbb,0.0,Electricity
016db072-e5e0-4ac0-92d1-3c43677867b0,0.0,Electricity
017669ed-6cf5-4b7d-a858-a589a862afb0,0.0,Electricity
018666f0-c5de-44a8-8502-02f88d00f114,0.0,Electricity
019758f2-14fb-46d8-8c25-b25a178e4389,0.0,Electricity
0198dbc5-54f2-4cb2-bcb1-343b44118c5f,0.0,Electricity
01a2a6ff-fc8d-47e7-9dd6-ea3da49e01d5,0.0,Electricity
01c80724-1c60-4880-a755-d88ba1eed11f,0.0,Electricity
01da2f74-170d-4daa-b39f-bbc163293e88,0.0,Electricity
01dcf476-91a4-49b8-8a12-0106dae28ec2,0.0,Electricity
01e12d43-2da0-4b79-b654-0f34a8feabca,0.0,Electricity
01e1f367-d191-4d13-9503-30175d45fafb,0.0,Electricity
01f08e7e-5bc1-41ea-b7da-a9aff2c7ca82,0.0,Electricity
020b6313-36dd-43f8-bde0-1b4073479102,0.0,Electricity
020de419-7264-40e2-a192-ff324d952908,0.0,Electricity
0214972f-7638-4465-a63b-0d15cbeb5eb7,0.0,Electricity
0228107c-a9de-45f3-98f4-8c81184df766,0.0,Electricity
022cd9cc-5859-4906-a6f3-2a9a549b58f1,0.0,Electricity
023416c0-f972-4883-8705-b331518bfbf2,0.0,Electricity
0234c523-dfe6-483b-9a29-6838b943121e,0.0,Electricity
0234e1e8-3ec6-4eac-8291-c5b92891e60f,0.0,Electricity
02483f2d-36d0-48bf-95a7-f76f1dcaa0ac,0.0,Electricity
025370db-1da2-481b-9b67-9fdc37dd35b6,0.0,Electricity
025f3273-353f-4bf7-a46d-193c2f437ca9,0.0,Electricity
02615ac0-2593-43ba-a55c-00d535e21b83,0.0,Electricity
026d3923-78be-4fa8-96a0-c242590ea5b1,0.0,Electricity
0270637d-4f48-49a8-9793-fc1e69794665,0.0,Electricity
02729bf0-8440-4323-bc18-8b0e4b7199f0,0.0,Electricity
0275c83f-66e5-4de8-bd5b-3d97971c1360,0.0,Proper Ventilation
027600f8-7b0d-4f03-bff2-392f1f58c550,0.0,Electricity
