_id,_index_map,date_visits
000210ae-ddfd-42f2-b79b-01908c4b73ef,0,09/19/2018 at 03:44:06 PM GMT+08:00
000210ae-ddfd-42f2-b79b-01908c4b73ef,1,10/22/2018 at 09:44:17 AM GMT+08:00
000210ae-ddfd-42f2-b79b-01908c4b73ef,2,11/27/2018 at 06:21:14 PM GMT+08:00
000210ae-ddfd-42f2-b79b-01908c4b73ef,3,11/29/2018 at 07:30:11 PM GMT+08:00
000210ae-ddfd-42f2-b79b-01908c4b73ef,4,12/04/2018 at 09:41:21 AM GMT+08:00
000210ae-ddfd-42f2-b79b-01908c4b73ef,5,02/14/2019 at 02:25:29 PM GMT+08:00
11210ae-ddfd-42f2-b79b-01908c4b73ef,0,09/19/2018 at 03:44:06 PM GMT+08:00
11210ae-ddfd-42f2-b79b-01908c4b73ef,1,10/22/2018 at 09:44:17 AM GMT+08:00
11210ae-ddfd-42f2-b79b-01908c4b73ef,2,11/27/2018 at 06:21:14 PM GMT+08:00
11210ae-ddfd-42f2-b79b-01908c4b73ef,3,11/29/2018 at 07:30:11 PM GMT+08:00
11210ae-ddfd-42f2-b79b-01908c4b73ef,4,12/04/2018 at 09:41:21 AM GMT+08:00
11210ae-ddfd-42f2-b79b-01908c4b73ef,5,02/14/2019 at 02:25:29 PM GMT+08:00
