_id,_index_map,households.amenities_present_in_house
027a5ffe-9e4f-4e51-9e32-9fc6da242946,0.0,Electricity
027a5ffe-9e4f-4e51-9e32-9fc6da242946,0.1,Proper Ventilation
027a5ffe-9e4f-4e51-9e32-9fc6da242946,0.2,Water Supply
4a6a4b94-f06c-4da9-a323-a48bb8c651ce,0.0,Electricity
4a6a4b94-f06c-4da9-a323-a48bb8c651ce,0.1,Proper Ventilation
4a6a4b94-f06c-4da9-a323-a48bb8c651ce,0.2,Water Supply
978ac667-a094-4ed3-9e9b-be0eb4ccd5ca,0.0,Electricity
3de5b0f7-75ea-47d1-842e-df22156cf0e8,0.0,Electricity
3de5b0f7-75ea-47d1-842e-df22156cf0e8,0.1,Proper Ventilation
3de5b0f7-75ea-47d1-842e-df22156cf0e8,0.2,Water Supply
29c2e957-d544-4268-8299-6c81a373ecdb,0.0,Electricity
29c2e957-d544-4268-8299-6c81a373ecdb,0.1,Proper Ventilation
29c2e957-d544-4268-8299-6c81a373ecdb,0.2,Water Supply
cc994234-ce15-45b2-b376-4df1232cc183,0.0,Kuryente
018f1dd5-4db5-426a-9533-7f60bd35c842,0.0,Electricity
018f1dd5-4db5-426a-9533-7f60bd35c842,0.1,Water Supply
77efbbab-34a9-4047-aee9-8387ad70ac34,0.0,Electricity
77efbbab-34a9-4047-aee9-8387ad70ac34,0.1,Water Supply
5363df03-86e3-410f-b1e2-28afe3a16b73,0.0,Kuryente
5363df03-86e3-410f-b1e2-28afe3a16b73,0.1,Tubig
0610ff90-6d63-4ed6-bf76-598deac18e0a,0.0,Electricity
0610ff90-6d63-4ed6-bf76-598deac18e0a,0.1,Proper Ventilation
0610ff90-6d63-4ed6-bf76-598deac18e0a,0.2,Water Supply
a21e3ffa-34da-4380-83ca-eaa6932984f3,0.0,Electricity
7d3becf5-8e7f-4df4-b73a-53ba8d88d176,0.0,Kuryente
7d3becf5-8e7f-4df4-b73a-53ba8d88d176,0.1,Tubig
