_id,_index_map,households.sanitary_type
027a5ffe-9e4f-4e51-9e32-9fc6da242946,0.0,Flush
4a6a4b94-f06c-4da9-a323-a48bb8c651ce,0.0,Pail
978ac667-a094-4ed3-9e9b-be0eb4ccd5ca,0.0,Pail
3de5b0f7-75ea-47d1-842e-df22156cf0e8,0.0,Flush
29c2e957-d544-4268-8299-6c81a373ecdb,0.0,Pail
cc994234-ce15-45b2-b376-4df1232cc183,0.0,Pail
018f1dd5-4db5-426a-9533-7f60bd35c842,0.0,Pail
77efbbab-34a9-4047-aee9-8387ad70ac34,0.0,Pail
5363df03-86e3-410f-b1e2-28afe3a16b73,0.0,Open Pit
0610ff90-6d63-4ed6-bf76-598deac18e0a,0.0,Pail
a21e3ffa-34da-4380-83ca-eaa6932984f3,0.0,Open Pit
7d3becf5-8e7f-4df4-b73a-53ba8d88d176,0.0,Open Pit
24a7489e-245a-4689-bdc2-a2e268c67b31,0.0,Open Pit
a3d74c6e-850f-4d97-8f4e-e56431dc4c07,0.0,Pail
b7cfbb70-145c-4d36-92eb-6edeb98185fd,0.0,Flush
33949634-d4f9-427a-bcec-7886b8c86e06,0.0,Open Pit
5be788dd-663e-4b8c-92fd-16fc89a3b476,0.0,Flush
2d963773-59b8-4a50-9164-86c17d34330b,0.0,Pail
3d595c12-a038-4a20-90c7-3ea6a06a12c2,0.0,Pail
40f64ac0-9d27-442c-9be4-c032d88fa482,0.0,Pail
ca2a7f39-c7ed-4dc1-97e4-635c6827ad8b,0.0,Open Pit
f74506ec-9df8-4dd9-add4-11083e2f09e9,0.0,Pail
bc9437c7-392d-4999-a063-ae7b6a2acb24,0.0,Pail
30f10c24-493b-4251-a2fc-631b47cb7d51,0.0,Pail
c11c0de4-5a20-4386-86c4-7a6415a4b6cb,0.0,buho
9db90e49-454f-47bb-9c41-148e1a79e2c8,0.0,Pail
9db90e49-454f-47bb-9c41-148e1a79e2c8,0.1,Open Pit
e73efc27-f9db-40d5-acc0-f496020673d8,0.0,Pail
e73efc27-f9db-40d5-acc0-f496020673d8,0.1,Open Pit
be7fd9f9-571e-426a-8f93-007b51f647db,0.0,Open Pit
a86fa442-e1d7-4ef4-9e6d-fd262f8fea10,0.0,Pail
33e693c8-5d43-4c78-9318-fd62bea2f190,0.0,Pail
228296f5-298c-4127-ab5d-a1aa5cc7dec9,0.0,Pail
e468173b-8a57-4b6c-af1b-dea7041e4917,0.0,Pail
f6803be5-eb38-4215-87f5-be5e4ad3a16b,0.0,Flush
f6803be5-eb38-4215-87f5-be5e4ad3a16b,0.1,Pail
6b2063ca-a1d3-4f08-97bc-7cab08674c15,0.0,Open Pit
592e91e9-f106-4157-a0c9-6b2293047a5e,0.0,Pail
5d98e525-7f8f-407d-96ba-4861aaa8c58f,0.0,Pail
19849dce-ea3e-4322-bba9-a1ce3a9068c0,0.0,Pail
c88d9d76-e661-45b9-a58d-6dd7a5ce3ce2,0.0,Pail
6b9dc9a7-6d7b-4946-af8d-86219a0d5ac2,0.0,Pail
3197bc61-0aba-4c7e-abe8-c6e6bbac3c77,0.0,Flush
84300d37-fe61-4673-8aa8-4c9a262145a3,0.0,Flush
3a4ecf9f-7c9e-498f-ad86-a724f4ceafcc,0.0,Flush
cea3879e-8b52-4b59-a446-8a33bd9cb6f5,0.0,Flush
c6303fb1-05aa-480d-991f-1b0275b1e04f,0.0,Flush
71b13a63-f6e7-4777-80fb-625bd3190152,0.0,Pail
71b13a63-f6e7-4777-80fb-625bd3190152,0.1,Open Pit
957f06e1-37bf-4f80-8f13-9e5a37027992,0.0,Pail
11e75e75-244d-4d3c-8dee-3dcf3dc3e7d6,0.0,Open Pit
d59ebbb1-0df9-49cd-b8e1-8dd66401124f,0.0,Flush
dc9b9d7d-2636-44ff-86ba-ae4a67c222e5,0.0,Flush
4b2192cc-f60a-472c-b4bc-8fa4ad8b37db,0.0,Flush
e287b1d4-f14f-42a2-9abd-f539d0de8e5d,0.0,Pail
480252b5-1ac8-43c2-a541-f838a0d7db63,0.0,Pail
b1fb85d5-fd15-4395-a3d7-35180fc452e5,0.0,Flush
6e05599f-88d6-4467-ae14-c828e6f2e1bc,0.0,Pail
7ae09827-f1c1-4fde-94bd-e3a3bfe5c97b,0.0,Open Pit
40baacef-2913-4223-b3b1-532e17748bbc,0.0,Pail
da0dcdd6-ed73-41fa-a63f-a3b9b377553b,0.0,Pail
cacb88c0-d8ea-4ef9-b04f-276faa50aa8d,0.0,Open Pit
18dc53c6-5bad-419d-b693-7d010d1cdade,0.0,Flush
30258bb6-e7f1-4a53-9650-6bd36db23dc6,0.0,Pail
c9f2d19c-02c3-44f6-97d3-d6d1bce0fca5,0.0,Flush
c9f2d19c-02c3-44f6-97d3-d6d1bce0fca5,0.1,Pail
9b9ec8d5-5407-481d-b130-add1faedbc74,0.0,Pail
0a5fc999-4f63-4148-ae26-dc52e459e8c5,0.0,Pail
06f70db8-8227-4c28-ae85-8ca79891c6d5,0.0,Pail
00e9bbf1-c17b-4072-ac53-9aa00d95de56,0.0,Pail
