date_visits,_id,_index_map
09/19/2018 at 03:44:06 PM GMT+08:00,000210ae-ddfd-42f2-b79b-01908c4b73ef,0
10/22/2018 at 09:44:17 AM GMT+08:00,000210ae-ddfd-42f2-b79b-01908c4b73ef,1
11/27/2018 at 06:21:14 PM GMT+08:00,000210ae-ddfd-42f2-b79b-01908c4b73ef,2
11/29/2018 at 07:30:11 PM GMT+08:00,000210ae-ddfd-42f2-b79b-01908c4b73ef,3
12/04/2018 at 09:41:21 AM GMT+08:00,000210ae-ddfd-42f2-b79b-01908c4b73ef,4
02/14/2019 at 02:25:29 PM GMT+08:00,000210ae-ddfd-42f2-b79b-01908c4b73ef,5
09/19/2018 at 03:44:06 PM GMT+08:00,11210ae-ddfd-42f2-b79b-01908c4b73ef,0
10/22/2018 at 09:44:17 AM GMT+08:00,11210ae-ddfd-42f2-b79b-01908c4b73ef,1
11/27/2018 at 06:21:14 PM GMT+08:00,11210ae-ddfd-42f2-b79b-01908c4b73ef,2
11/29/2018 at 07:30:11 PM GMT+08:00,11210ae-ddfd-42f2-b79b-01908c4b73ef,3
12/04/2018 at 09:41:21 AM GMT+08:00,11210ae-ddfd-42f2-b79b-01908c4b73ef,4
02/14/2019 at 02:25:29 PM GMT+08:00,11210ae-ddfd-42f2-b79b-01908c4b73ef,5
05/09/2018 at 10:08:20 PM EDT,00066299-81c1-4311-970b-8f82dca8640b,0
04/13/2018 at 12:04:12 PM GMT+08:00,000799a5-7aeb-47d2-963c-30c566b3e0da,0
05/09/2018 at 08:54:07 AM GMT+08:00,000a8037-e95d-4aec-bce3-12004cdfdb47,0
03/19/2018 at 02:43:17 PM GMT+08:00,000f6a33-890f-4327-acd4-ab72b25b5657,0
04/20/2018 at 10:01:36 AM GMT+08:00,0014f56d-c217-4fe9-afa4-291a0c0a23d2,0
04/21/2018 at 09:39:58 PM GMT+08:00,0014f56d-c217-4fe9-afa4-291a0c0a23d2,1
04/25/2018 at 10:33:41 AM GMT+08:00,0014f56d-c217-4fe9-afa4-291a0c0a23d2,2
04/11/2018 at 04:39:18 PM GMT+08:00,001522fc-183a-468e-a314-dbe99f5dd008,0
04/16/2018 at 12:45:42 PM GMT+08:00,001522fc-183a-468e-a314-dbe99f5dd008,1
05/07/2018 at 04:03:17 AM GMT+08:00,00197824-5aa2-4baa-b584-646d38cf9bd3,0
04/16/2018 at 05:10:01 AM GMT+00:00,001e0790-bd7c-410f-8950-8497bffa4338,0
04/18/2018 at 09:05:07 AM GMT+08:00,0024006e-d60a-482f-bf98-142b073f395a,0
04/18/2018 at 02:28:08 PM GMT+08:00,0024fb77-43e3-4eea-a1a4-478a01763039,0
05/20/2018 at 07:50:06 PM GMT+08:00,00256005-2b4a-480a-a777-d208ad640183,0
04/24/2018 at 01:30:28 AM EDT,002c16aa-5f96-4777-8f09-7581d4bb250b,0
04/16/2018 at 03:57:40 AM GMT+00:00,002dc1ab-fdfc-4bbe-8e61-94e75585a86b,0
05/21/2018 at 10:32:59 AM GMT+08:00,003b3ade-437c-4367-b8dc-1a3f11d24db7,0
04/15/2018 at 08:21:29 AM GMT+08:00,0048951a-4c34-41fc-8020-21466e1ede8f,0
04/16/2018 at 12:55:33 PM GMT+08:00,0048951a-4c34-41fc-8020-21466e1ede8f,1
05/09/2018 at 10:38:14 AM GMT+08:00,004dae03-e038-4819-a4d5-571178ea928c,0
04/13/2018 at 10:19:18 AM GMT+08:00,004ff0ae-4301-473b-81ff-3dc6b42cdd9f,0
05/11/2018 at 08:59:09 PM GMT+08:00,0051337e-c157-4215-afe5-38bf95be48d8,0
06/09/2018 at 09:48:46 AM GMT+08:00,00524edf-3e96-4388-932c-89ab9d1890a4,0
05/18/2018 at 06:11:47 PM GMT+08:00,006474b8-5454-4dd5-8b6a-d23686fad534,0
04/10/2018 at 09:51:20 AM GMT+08:00,006552f6-6047-4225-b7a2-fe6d548018b3,0
03/27/2018 at 09:45:21 AM GMT+08:00,0066e25e-a81f-4d34-9e29-da905724c64f,0
04/30/2018 at 04:34:51 PM GMT+08:00,006e7df7-87b7-42ce-9dd9-cf29e58890ac,0
05/01/2018 at 06:31:25 AM GMT+08:00,006e7df7-87b7-42ce-9dd9-cf29e58890ac,1
05/02/2018 at 07:55:21 PM GMT+08:00,006e7df7-87b7-42ce-9dd9-cf29e58890ac,2
05/03/2018 at 06:33:18 AM GMT+08:00,006e7df7-87b7-42ce-9dd9-cf29e58890ac,3
04/26/2018 at 01:08:04 AM EDT,00753acf-6095-406e-945a-8a4f2bd53356,0
03/20/2018 at 07:59:41 AM GMT+08:00,0077b01b-9727-4126-bc00-6bbb6479c831,0
03/26/2018 at 11:08:21 PM GMT+08:00,00780efb-4f3d-4fe7-8c6e-2921fc64a4a4,0
05/23/2018 at 09:48:47 AM GMT+08:00,0081689c-12ad-43b8-96d4-5c122134b894,0
03/26/2018 at 08:56:49 AM GMT+08:00,0086a6fb-852a-424f-840d-dab9725e4aa5,0
05/10/2018 at 01:15:03 PM GMT+08:00,008def4c-5ed2-40c4-b6ef-5957e284c4bd,0
05/03/2018 at 06:01:54 AM GMT+08:00,00933068-b032-46bc-bb0f-ab687b164e83,0
04/26/2018 at 10:04:10 AM GMT+08:00,009446e6-af8c-4739-97db-1ad19302c150,0
05/18/2018 at 08:49:01 AM GMT+08:00,00a0c2e1-69c3-483c-8931-c6da5ef6b786,0
03/09/2018 at 02:04:22 PM GMT+08:00,00a49807-c8c6-4c40-a8e2-bdb720001ec9,0
04/28/2018 at 06:29:33 PM GMT+08:00,00a49807-c8c6-4c40-a8e2-bdb720001ec9,1
04/20/2018 at 10:55:48 AM GMT+08:00,00aad015-cf59-4595-9234-4406fbbe6d38,0
