households.date_updated,households.house_ownership,households.sanitary_ownership,households.neighborhood_description,households.type_of_house,_id,_index_map
09/19/2018 at 03:44:06 PM GMT+08:00,Owned,Owned,Rural,Concrete-based,000210ae-ddfd-42f2-b79b-01908c4b73ef,0
09/19/2018 at 03:44:06 PM GMT+08:00,Owned,Owned,Rural,Concrete-based,11210ae-ddfd-42f2-b79b-01908c4b73ef,0
05/09/2018 at 10:00:05 PM EDT,Owned,Owned,Rural,Concrete-based,00066299-81c1-4311-970b-8f82dca8640b,0
04/13/2018 at 10:59:50 AM GMT+08:00,Owned,Owned,Rural,Mixed wood and concrete,000799a5-7aeb-47d2-963c-30c566b3e0da,0
05/09/2018 at 08:42:16 AM GMT+08:00,Living with relatives/friends,Owned,Rural,Concrete-based,000a8037-e95d-4aec-bce3-12004cdfdb47,0
03/19/2018 at 02:35:49 PM GMT+08:00,Living with relatives/friends,Owned,Rural,Mixed wood and concrete,000f6a33-890f-4327-acd4-ab72b25b5657,0
04/20/2018 at 09:50:02 AM GMT+08:00,Owned,Owned,Rural,Mixed wood and concrete,0014f56d-c217-4fe9-afa4-291a0c0a23d2,0
04/16/2018 at 12:45:42 PM GMT+08:00,Owned,Owned,Rural,Wood-based,001522fc-183a-468e-a314-dbe99f5dd008,0
05/03/2018 at 06:11:55 AM GMT+08:00,Owned,Owned,Urban,Concrete-based,00197824-5aa2-4baa-b584-646d38cf9bd3,0
04/18/2018 at 08:45:15 AM GMT+08:00,Owned,Owned,Rural,Concrete-based,0024006e-d60a-482f-bf98-142b073f395a,0
04/18/2018 at 02:14:53 PM GMT+08:00,Owned,Owned,Rural,Mixed wood and concrete,0024fb77-43e3-4eea-a1a4-478a01763039,0
04/24/2018 at 01:22:43 AM EDT,Owned,Owned,Urban,Mixed wood and concrete,002c16aa-5f96-4777-8f09-7581d4bb250b,0
04/16/2018 at 02:08:45 AM GMT+00:00,Living with relatives/friends,Owned,Rural,Concrete-based,002dc1ab-fdfc-4bbe-8e61-94e75585a86b,0
05/21/2018 at 10:27:23 AM GMT+08:00,Owned,Owned,Urban,Wood-based,003b3ade-437c-4367-b8dc-1a3f11d24db7,0
04/15/2018 at 08:16:28 AM GMT+08:00,Owned,Owned,Rural,Wood-based,0048951a-4c34-41fc-8020-21466e1ede8f,0
05/09/2018 at 10:30:54 AM GMT+08:00,Owned,Owned,Rural,Mixed wood and concrete,004dae03-e038-4819-a4d5-571178ea928c,0
