summary,title,type,author,content,date
Summary for information test,Information 1 (test),information2,test@gmail.com,This is a test. Ignore this paragraph,2018-07-02T08:35:47.670Z
summary,Test,information2,test@gmail.com,testing,2018-07-09T09:36:10.708Z
summary,testing,information2,putiancuarterocam19@gmail.com,body,2018-07-09T09:37:27.501Z
"Make your children exercise, without them even knowing!",10 WAYS TO GET ACTIVE WITH YOUR KIDS,information2,putiancuarterocam19@gmail.com,"All children aged five or over should be physically active for at least one hour a day.

Physical activity helps children:
	•	grow strong muscles and bones
	•	maintain a healthy weight
	•	discover the world around them
	•	build their confidence
	
You can help by encouraging your child to find activities they enjoy and building physical activity into family life.


10 WAYS TO MAKE EXERCISE FUN

1. Walk, scooter, or cycle to and from school together as often as possible.
2. Build a den or treehouse with them in the school holidays. Or, under supervision, encourage them to climb a tree or two.
3. Go roller skating, rollerblading or skateboarding, indoors or outside. 
4. Do an activity challenge together, such as training for a fun run or charity walk. 
5. Take the dog for a walk. If you don't have one of your own, ask if you can borrow a friend or neighbor's dog.
6. Support your kids in sports, clubs or any other activities that may interest them. Joining a weekend club sport encourages them to make a commitment to a team and regular exercise. 
7. Find time every weekend to do something active with your children. Play frisbee or football in the park, go trampolining, or try indoor rock climbing.
8. Fly a kite. 
9. Take a trip to the beach. Beaches offer loads of ways for kids to get active, including games, rock-pooling, swimming, and plenty of running around. Or try an activity-based holiday. 
10. Go around some parks in your community.",2018-07-06T09:31:32.050Z
A guide to getting active if you have an impairment or a long-term health condition.,GET ACTIVE WITH DISABILITY,information2,putiancuarterocam19@gmail.com,"This guide will help you:
	•	build activity into your day
	•	search for activities or classes 
	•	browse activities and sports


BUILD ACTIVITY INTO YOUR DAY
To improve your health, try to put some time aside to do activities that improve your heart health and your muscle strength.

It is recommended doing at least 150 minutes of activity a week as well as strength exercises on two or more days a week.

But don't worry about hitting these targets straight away: every little helps. What's more important is choosing an activity you enjoy.

The easiest way to increase your activity levels is to build activity into the things you do every day, like going to work, shopping and seeing friends.


TIPS TO BUILD ACTIVITY INTO YOUR DAY
	•	Walk or ride part of your journey to work or the shops.
	•	Get off a bus or train stop before your destination.
	•	If you drive, park further away from your office and walk or ride the rest of the way.
	•	Go for a walk or a ride with your friend rather than meeting for coffee.
	•	Exercise before or after work, or during your lunch break.
	•	Lots of gardening can provide a good workout.
	•	Exercise in front of the TV.
	•	Try an online video workout.",2018-07-06T09:41:23.218Z
Here's a list of low-impact exercises can improve your health and fitness without harming your joints.,EASY EXERCISES,information2,putiancuarterocam19@gmail.com,"Research suggests moderate-intensity, low-impact activity, such as yoga and fast walking, is just as effective as high-impact activity, such as running, in lowering the risk of heart disease.
Here are some popular low-impact activities.

HOME EXERCISES
These are ideal if you're not very active but want to improve your health, lift your mood and remain independent. Don't worry if you haven't done much for a while. These exercises are easy and gentle, and can be done indoors.
	•	Sitting exercises
	•	Strength exercises
	•	Flexibility exercises
	•	Balance exercises


WALKING
Walking is by far the most popular low-impact exercise. It works the cardiovascular system and burns calories. To get your heart rate up, walk faster than a stroll. Picking up the pace can increase the intensity of your workouts. Add short bursts of speed or walk up an occasional steep hill. 

Find out how to use walking to improve your health.

You could also try the free Active 10 app to help you get into the habit of walking briskly for 10 minutes every day.


DANCING
One of the best things about dancing is that while you're having fun moving to music and meeting new people, you're getting all the health benefits of a good workout. From Ceroc to the foxtrot, there's a dance style to suit all tastes.

Find out more about dancing for fitness.


CYCLING
Cycling is a low-impact activity. But you can still injure yourself if you have the wrong size bike, or if the saddle and handlebars are at the wrong height. Cycling is an aerobic exercise that works your lower body and cardiovascular system. Start slowly and increase the length of your cycling sessions gradually.

Get tips on cycling for fitness.


SWIMMING
Swimming works the whole body. It's a great way to tone up and get trim. Swimming a few lengths involves most of the muscle groups, and you'll get a good aerobic workout if you increase the pace. Swimming can also help you lose weight if you swim at a steady and continuous pace throughout your session.

Read our guide to swimming for beginners.


NORDIC WALKING
Nordic walking is a full-body exercise that's easy on the joints and suitable for all ages and fitness levels. Classes range from gentle walks for people with health concerns to workout walks, which are a great way to improve fitness, lose weight and tone the whole body. It's a suitable activity for people with joint conditions or those who may be carrying some extra body weight.

Find out more about getting started with Nordic walking.


YOGA
Yoga can improve both your physical fitness and your general wellbeing through a series of postures and breathing exercises. Regular yoga practice helps develop strength, balance and flexibility. It can also lift your mood.

Read a guide to yoga.


TAI CHI
This ancient Chinese art promotes mental and physical wellbeing. Movements are slow and controlled. This means you won't improve your cardiovascular fitness or get a calorie-burning workout, but it does improve strength, flexibility and balance.

Read a guide to tai chi.


PILATES
Pilates focuses on rebalancing the body and improving posture through slow, controlled movements and exercises. Regular practice can help you improve muscle strength and your overall sense of wellbeing. It can be helpful for people who can't or must not jump around too much.


BOWLS
You can enjoy bowls at any age and with no experience, and it can be played all year round. Although not the most energetic of games, bowls is good for posture, flexibility, balance and hand-eye co-ordination.

If you're looking for a chance to keep active and socialize with people in your community, bowls is for you. Most clubs have bar and catering facilities, and you can take part in non-bowling activities as well, such as quiz nights and whist drives.


AQUA AEROBICS
Water aerobics is a low-impact activity. It requires a basic swimming ability as it's mostly done in water that's waist high or deeper.

Aqua aerobic workouts use a variety of techniques taken from studio aerobics, including walking or running backwards and forwards, jumping jacks, various arm movements, and moves from cross-country skiing. 
",2018-07-06T09:54:19.921Z
Try these cheap and fun gym-free activities to improve your health and fitness.,GYM-FREE EXERCISES,information2,putiancuarterocam19@gmail.com,"Getting health benefits from physical activity is easier than you think, and it doesn't have to cost an arm and a leg.

Doing at least 150 minutes a week of moderate-intensity activity is enough to keep you feeling fit and healthy.

If the gym is not your thing, there are many low-cost activities you can do on your own that can get you in shape.

Find something you enjoy that you can easily build into your lifestyle or build on something that's already part of your routine.

Here are some tips for getting active the cheap and easy way.


WALKING
Walking is one of the best forms of exercise because it's cheap and accessible to everyone. Increasing the amount you walk is easier than you think. You can make it a social affair by walking with a friend or joining a local walking group.

Walking stimulates the cardiovascular system – the heart, lungs, and circulation. It also boosts the endurance of the lower muscles, including the legs and hips.  

You could also try the free Active 10 app to help you get into the habit of walking briskly for 10 minutes every day.


HOME EXERCISES
Burn calories, lose weight and feel great with our 10-minute home workout routines:
	•	Exercise your heart and lungs with a 10-minute home cardio workout.
	•	Get into shape with a 10-minute home toning workout.
	•	Burn fat from your tummy, hips, thighs and bottom with a 10-minute legs, bums and tums home workout.
	•	Lose the droopy booty with a 10-minute firm butt workout.
	•	Tone your tummy muscles with a 10-minute abs workout.
	•	Banish those flabby upper arms with a 10-minute bingo wings workout.


RUNNING AND JOGGING
Running makes more demands on your body than walking, so if you're just starting out, you should build up the speed and duration of your runs gradually. 

If you're thinking of taking up running for the first time or you've been inactive for a while, read our Getting started guide to running.


CYCLING
Cycling is an aerobic exercise that works your lower body and cardiovascular system. If you plan to cycle regularly, make sure your bike is the right size, and the saddle and handlebars are adjusted to suit your height. 

As with jogging or walking, you can make it a social activity by riding with friends, family or a cycling group. 


SWIMMING
Swimming is the third most popular type of exercise in the UK, after walking and running. Most pools offer lessons if you're a beginner or you want to improve.

Swimming exercises the whole body, and is a great way to tone up and get trim. Doing a few lengths involves most of the muscle groups. If you increase the pace, you'll get an aerobic workout, too.

Swimming can also help you lose weight if you swim at a steady and continuous pace throughout the session.


DANCING
Dance is popular among all age groups. It's a skilled activity, but most studios offer classes for all abilities.

Dancing is an aerobic activity that improves your balance and co-ordination. It's suitable for people of all ages, shapes and sizes. 


BADMINTON
Badminton is one of the most accessible racquet sports. The shuttlecock travels at a relatively low speed, so you don't need a high degree of skill and fitness to begin with.

Badminton is an aerobic activity that works on your lower and upper body. It will develop your balance, co-ordination, stamina, power and reflexes. Racquet games can be quite strenuous, so warm up before playing.",2018-07-06T10:18:11.744Z
"From weekend warriors to elite athletes, stretching before exercise is a common practice, but new research has cast doubt on its effectiveness.",DO I NEED TO STRETCH BEFORE EXERCISING?,information2,putiancuarterocam19@gmail.com,"Research suggests that stretching before exercise is unlikely to reduce your risk of injury, improve your performance or prevent sore muscles.

However, there’s no evidence that stretching before or after exercise will do you any harm, either.

The upshot is if you enjoy stretching, or it is a staple in your exercise routine, there’s no reason to stop. Try this 5-minute post-exercise stretch routine.

Read on to get a deeper understanding of the mechanics of stretching and work out just how much stretching you really need in your life.


WHAT'S THE POINT OF STRETCHING?
Stretching for sport and exercise improves flexibility, which increases the ability of a joint to move through its full range of motion; in other words, how far it can bend, twist and reach. Some activities, such as gymnastics, require more flexibility than others, such as running.


DIFFERENT TYPES OF STRETCHES
Static stretch: stretching a muscle to the point of mild discomfort and holding that position, typically for at least 30 seconds or longer.
Proprioceptive neuromuscular facilitation (PNF): methods vary, but typically PNF involves holding a stretch while contracting and relaxing the muscle. 
Dynamic stretch: performing gentle repetitive movements, such as arm swings, where one gradually increases the range of motion of the movement, but always remains within the normal range of motion. 
Ballistic or bouncing stretches: involves going into a stretch and performing bouncing or jerking movements to increase range of motion.
Most of the research on stretching has focused on static stretching; there is less evidence on other forms.


WHAT HAPPENS WHEN WE STRETCH?
While the exact mechanics of what happens are not fully understood, regular stretching is thought to increase flexibility, both by making muscles suppler and by retraining the nervous system to tolerate stretching further. Flexibility from regular stretching gradually disappears once you stop stretching – typically after four weeks.

Dr Polly McGuigan, a lecturer in biomechanics from the University of Bath, says it’s unclear whether the increase in range of motion of a joint is due to physical changes in the muscles that control those joints, or just a greater tolerance to stretch. She says: “My feeling is that there must be some changes at the muscle-tendon unit level, as just increasing tolerance would not have the scale of effect that can be seen with some stretching programs.”


HOW MUCH FLEXIBILITY DO I NEED?
It depends on your activity. The flexibility demands of a gymnast or a ballet dancer are clearly different to those of a runner. There is little to be gained for a jogger or runner from having the flexibility of a gymnast.

To generate power during exercise, the muscles and tendons store and release energy like a spring. Too much flexibility may reduce the muscle’s natural spring, which may be detrimental for activities involving running, jumping and sudden changes in direction, such as running, football or basketball.
 
“However, too little flexibility may increase the risk of muscle strain injury, as the muscles are unable to lengthen and absorb this energy,” says Dr Anthony Kay, Associate Professor of Biomechanics from the University of Northampton.


DOES STRETCHING BEFORE EXERCISE AFFECT PERFORMANCE?
Research suggests that stretching before exercise makes your muscles weaker and slower, even though you might feel looser. “For most performances, this would be detrimental,” says Dr Ian Shrier, a sports medicine clinician and researcher and Associate Professor at the Department of Family Medicine, at Montreal’s McGill University.

However, stretching also increases your range of motion. “A ballerina might require stretching before performance to do a full split during the show,” says Dr Shrier. “Even though she is weaker, her performance will be improved.” 

Dr Kay, who was the lead author on one of the largest reviews on pre-performance stretching, believes the reduction in performance from pre-exercise stretching has been overstated. “It is likely that durations of stretch used in the warm-up routines of most recreational exercisers produce negligible and transient reductions in strength,” he says. 


DOES STRETCHING BEFORE EXERCISSE REDUCE THE RISK OF INJURY?
The evidence strongly suggests that pre-exercise stretching does not reduce the risk of injury. Professor Rob Herbert, Senior Principal Researcher Fellow with Neuroscience Research Australia, took part in the three largest randomized trials on the effects of stretching. They all concluded that stretching had little or no beneficial effect on reduction in injury risk.

The most recent and largest of the three studies found “a hint” of an effect on reducing injuries like ligament tears, muscle tears, strains and sprains. But Prof Herbert cautioned, “If stretching does cut your odds of one of these types of injuries, it’s by only a very small amount.”


WHEN DO INJURIES OCCUR?
Muscle injuries happen when the muscle is put under too much stress, typically when it is stretched under pressure – for instance, when lowering a heavy weight.

The injury occurs not because the muscle isn’t flexible enough, but because the muscle isn’t producing enough force to support itself. A muscle might not produce enough force, either because it is not strong enough or it didn’t contract at the right time for a particular movement.


DOES STRETCHING REDUCE SORENESS?
There is no evidence that stretching helps to reduce or prevent a type of pain that can show up a day or two after exercising – also called delayed onset muscle soreness (DOMS).

A 2011 review by Prof Herbert found that “muscle stretching, whether conducted before, after, or before and after exercise, does not produce clinically important reductions in delayed onset muscle soreness in healthy adults.”


SHOULD I STRETCH BEFORE EXERCISING?
Your decision to stretch or not to stretch should be based on what you want to achieve. “If the objective is to reduce injury, stretching before exercise is not helpful,” says Dr Shrier. Your time would be better spent by warming up your muscles with light aerobic movements and gradually increasing their intensity.

“If your objective is to increase your range of motion so that you can more easily do the splits, and this is more beneficial than the small loss in force, then you should stretch,” says Dr Shrier.

For most recreational exercisers, stretching before exercise is therefore a matter of personal preference. “If you like stretching, do it, and if you don’t like stretching, don’t do it,” says Prof Herbert.


HOW SHOULD I WARM UP?
The purpose of warming up is to prepare mentally and physically for your chosen activity. A typical warm up will take at least 10 minutes and involve light aerobic movements and some dynamic stretching that mimics the movements of the activity you’re about to perform.

“Gradually increasing the range of motion of these movements during the warm up will prepare the body for more intense versions of those movements during the sport itself,” says Dr McGuigan. This process will raise your heart rate and increase the blood flow to your muscles, thereby warming them up.

Warm muscles are less stiff and work more efficiently. Increased blood flow enables more oxygen to reach the muscles and produce energy. The warm up also activates the nerve signals to your muscles, which results in faster reaction times.  


SHOULD I STRETCH AFTER EXERCISING?
There is some evidence that regular static stretching outside periods of exercise may increase power and speed, and reduce injury. The best time to stretch is when the muscles are warm and pliable. This could be during a yoga or pilates class, or just after exercising.

However, there is very limited evidence about specifically stretching after exercise. Dr Shier says: “Since people tend not to set aside one time to stretch and one time for other activities, I recommend that they stretch after exercise.”

A post-exercise stretch will also slow down your breathing and heart rate, and bring the mind and body back to a resting state.",2018-07-06T11:27:36.081Z
"We all know we need to be more active, but there is increasing evidence that we also need to spend less time sitting down.",WHY WE SHOULD SIT LESS,information2,putiancuarterocam19@gmail.com,"To reduce our risk of ill health from inactivity, we are advised to exercise regularly – at least 150 minutes a week – and reduce sitting time.

Studies have linked excessive sitting with being overweight and obese, type 2 diabetes, some types of cancer, and early death.

Sitting for long periods is thought to slow the metabolism, which affects the body's ability to regulate blood sugar, blood pressure and break down body fat.

Get tips on reducing sitting time for:
	•	children aged under 5 
	•	young people
	•	adults
	•	older adults


MOVE MORE, SIT LESS
The Start Active, Stay Active report (PDF, 1.34Mb) recommends breaking up long periods of sitting time with ""shorter bouts of activity for just one to two minutes"".
A panel of leading experts (PDF, 964kb), chaired by Professor Stuart Biddle, who reviewed the evidence on sitting for the report recommended taking ""an active break from sitting every 30 minutes"".

However, there is currently not enough evidence to set a time limit on how much time people should sit each day.

Nevertheless, some countries – such as Australia, the US and Finland – have made recommendations that children limit screen time, such as TV and video games, to just one to two hours a day.

Recent research has suggested that exercising at least 60 minutes a day can offset the negative effects of sitting too much throughout the day.  

AGE-SPECIFIC ADVICE
The recommendations to reduce sitting time apply to all age groups.

UNDER-5s
In children under five, the advice is to limit the time they spend watching TV, travelling by car, bus or train.

""There is emerging evidence that sedentary behavior in the early years is associated with overweight and obesity, as well as lower cognitive development,"" says the Start Active, Stay Active report.

While this may be a challenge for busy parents, the advice reflects growing awareness that early life experiences and habits impact upon our health as adults.

""There is a need to establish healthy patterns of behavior during the early years in order to protect against possible health detriments in the future,"" says the report.

Tips to reduce sitting time
	•	Reduce time spent in infant carriers, car seats or highchairs.
	•	Reduce time spent in walking aids or baby bouncers.
	•	Reduce time spent in front of the TV or other screens.

Get more activity ideas for under 5s.


CHILDREN AND YOUNG PEOPLE
Research suggests that children and young people in households with multiple TVs and computers tend to sit more.

For children aged 5 to 18 years, reducing sitting time includes anything that involves moving in and around the home, classroom or community.

Tips to reduce sitting time
	•	Consider ways for children to ""earn"" screen time.
	•	Agree a family limit to screen time per day.
	•	Make bedrooms a TV- and computer-free zone.
	•	Set ""no screen time"" rules to encourage kids to be active.
	•	Encourage participation in house chores such as setting the table or taking the trash out.
	•	Choose gifts such as a scooter, skateboard, ball, or kite to encourage active play.

Parents could lead by example by also reducing their TV time and other sitting-based tasks.


ADULTS
Adults aged 19 to 64 are advised to try to sit down less throughout the day, including at work, when travelling, and at home.

Tips to reduce sitting time
	•	Stand on the train or bus.
	•	Take the stairs and walk up escalators.
	•	Set a reminder to get up every 30 minutes.
	•	Place a laptop on a box or similar to work standing.
	•	Stand or walk around while on the phone.
	•	Take a walk break every time you take a coffee or tea break.
	•	Walk to a co-worker's desk instead of emailing or calling.
	•	Swap some TV time for more active tasks or hobbies.


OLDER ADULTS
Some older adults (aged 65 and over) are known to spend 10 hours or more each day sitting or lying down, making them the most sedentary population group.

""It could be partly due to reduced functionality or ill health, but there are also social norms expecting those in later years to 'slow down' and rest,"" says Professor Biddle. ""That's not helpful.""

Older adults should aim to minimize the time they spend in extended periods of sitting each day.

""Sitting needs breaking up,"" says Professor Biddle. ""Long periods of TV should be avoided, and you should try to do activities that involve light movement and being 'on your feet' as much as possible.

""Do some tasks standing, like having coffee and chats, or even writing a letter – Ernest Hemingway wrote his novels standing.""

Tips to reduce sitting time
	•	Avoid long periods sat in front of a TV or computer.
	•	Stand up and move during TV advert breaks.
	•	Stand or walk while on the phone.
	•	Use the stairs as much as possible.
	•	Take up active hobbies such as gardening and DIY.
	•	Join in community-based activities, such as dance classes and walking groups.
	•	Take up active play with the grandchildren.
	•	Do most types of housework.",2018-07-06T12:04:38.949Z
"It’s free, easy to take, has an immediate effect and you don’t need a doctor to get some.",BENEFITS OF EXERCISE,information2,putiancuarterocam19@gmail.com,"Exercise can reduce your risk of major illnesses, such as heart disease, stroke, type 2 diabetes and cancer by up to 50% and lower your risk of early death by up to 30%.

It’s free, easy to take, has an immediate effect and you don’t need a doctor to get some.

Click on the links below to find out if you're doing enough for your age:
	•	early childhood (under five years old)
	•	young people (five to 18 years old)
	•	adults (19 to 64 years old)
	•	older adults (65 and over)

Exercise is the miracle cure we’ve always had, but for too long we’ve neglected to take our recommended dose. Our health is now suffering as a consequence.
This is no snake oil. Whatever your age, there's strong scientific evidence that being physically active can help you lead a healthier and even happier life.
People who do regular activity have a lower risk of many chronic diseases, such as heart disease, type 2 diabetes, stroke, and some cancers.

Research shows that physical activity can also boost self-esteem, mood, sleep quality and energy, as well as reducing your risk of stress, depression, dementia and Alzheimer’s disease.

“If exercise were a pill, it would be one of the most cost-effective drugs ever invented,” says Dr Nick Cavill, a health promotion consultant.


HEALTH BENEFITS
Given the overwhelming evidence, it seems obvious that we should all be physically active. It's essential if you want to live a healthy and fulfilling life into old age.

It's medically proven that people who do regular physical activity have:
	•	up to a 35% lower risk of coronary heart disease and stroke
	•	up to a 50% lower risk of type 2 diabetes
	•	up to a 50% lower risk of colon cancer
	•	up to a 20% lower risk of breast cancer
	•	a 30% lower risk of early death
	•	up to an 83% lower risk of osteoarthritis
	•	up to a 68% lower risk of hip fracture
	•	a 30% lower risk of falls (among older adults)
	•	up to a 30% lower risk of depression
	•	up to a 30% lower risk of dementia


WHAT COUNTS?
To stay healthy, adults should try to be active daily and aim to achieve at least 150 minutes of physical activity over a week through a variety of activities.
For most people, the easiest way to get moving is to make activity part of everyday life, like walking or cycling instead of using the car to get around. However, the more you do, the better, and taking part in activities such as sports and exercise will make you even healthier.

For any type of activity to benefit your health, you need to be moving quick enough to raise your heart rate, breathe faster and feel warmer. This level of effort is called moderate intensity activity. One way to tell if you're working at a moderate intensity is if you can still talk but you can't sing the words to a song.
If your activity requires you to work even harder, it is called vigorous intensity activity. There is substantial evidence that vigorous activity can bring health benefits over and above that of moderate activity. You can tell when it’s vigorous activity because you're breathing hard and fast, and your heart rate has gone up quite a bit. If you're working at this level, you won't be able to say more than a few words without pausing for a breath.


A MODERN PROBLEM
People are less active nowadays, partly because technology has made our lives easier. We drive cars or take public transport. Machines wash our clothes. We entertain ourselves in front of a TV or computer screen. Fewer people are doing manual work, and most of us have jobs that involve little physical effort. Work, house chores, shopping and other necessary activities are far less demanding than for previous generations.
We move around less and burn off less energy than people used to. Research suggests that many adults spend more than seven hours a day sitting down, at work, on transport or in their leisure time. People aged over 65 spend 10 hours or more each day sitting or lying down, making them the most sedentary age group. 


SEDENTARY LIFESTYLES
Inactivity is described by the Department of Health as a “silent killer”. Evidence is emerging that sedentary behavior, such as sitting or lying down for long periods, is bad for your health.

Not only should you try to raise your activity levels, but you should also reduce the amount of time you and your family spend sitting down.

Common examples of sedentary behavior include watching TV, using a computer, using the car for short journeys and sitting down to read, talk or listen to music – and such behavior is thought to increase your risk of many chronic diseases, such as heart disease, stroke and type 2 diabetes, as well as weight gain and obesity. 

“Previous generations were active more naturally through work and manual labor, but today we have to find ways of integrating activity into our daily lives,” says Dr Cavill.

Whether it's limiting the time babies spend strapped in their buggies, or encouraging adults to stand up and move frequently, people of all ages need to reduce their sedentary behavior.

“This means that each of us needs to think about increasing the types of activities that suit our lifestyle and can easily be included in our day,” says Dr Cavill.

Crucially, you can hit your weekly activity target but still be at risk of ill health if you spend the rest of the time sitting or lying down. For tips on building physical activity and exercise into your day, whatever your age, read Get active your way.",2018-07-06T12:10:21.352Z
