source_key,source_type,destination_key,destination_type,data_type,data_source,data_format,data_transformation,default_value,lookup_value
gender,string,answers.Gender,string,existing,original,,not required,,
organization,string,organization,string,existing,original,,not required,,
user-cam.id,string,createdBy,string,existing,original,,not required,,
health_informations.height,string,answers.height,float,existing,original,,not required,,
health_informations.weight,string,answers.weight,float,existing,original,,not required,,
health_informations.smoking_habit,string,answers.tobaccoIntake,string,existing,original,,not required,,
health_informations.diagnosed,string,answers.currentDiagnosis,string,existing,original,,not required,,
health_informations.maintenance_drugs,string,answers.currentMedication,string,existing,original,,not required,,
profiles.employment.monthly_income,string,answers.householdIncome,string,existing,original,,not required,,
family_planning_and_maternal_healths.are_you_pregnant,string,answers.gravida,string,existing,original,,not required,,
,,answers.householdIncomeDependent,string,existing,original,,not required,,
,,answers.hasChildrenUnder5YearsOld,string,new,generated,,not required,N,
,,answers.awhServiceInterest,string,new,generated,,not required,,
,,formId,string,new,generated,,not required,aL8CUffsJwcnsDXpc4mPkw,
,,formName,string,new,generated,,not required,1.1 - AQM Personal Questions V1,
health_informations.date_updated,timestamp,dateCreated,timestamp,existing,original,timestamp,required,,
,,type,string,new,generated,,not required,profile-related-form,
,,contextName,string,new,generated,,not required,personal,
