source_key,destination_key,default_value,tag
_id,_id,,existing
_index_map,_index_map,,existing
gender,answers.Gender,,existing
user-cam.id,createdBy,,existing
health_informations.height,answers.height,,existing
health_informations.weight,answers.weight,,existing
health_informations.smoking_habit,answers.tobaccoIntake,,existing
health_informations.diagnosed,answers.currentDiagnosis,,existing
health_informations.maintenance_drugs,answers.currentMedication,existing
profiles.employment.monthly_income,answers.householdIncome,,existing
family_planning_and_maternal_healths.are_you_pregnant,answers.gavida,,not existing
_id,profileId,,existing
,answers.householdIncomeDependent,0,existing
,hasChildrenUnder5YearsOld,N,new
,awhServiceInterest,,new
,formId,aUysNSnojwNHyo8D5eunZe,new
,formName,2.2 - AQM Personal Questions V1,new
,dateCreated,2019-06-27T20:34:09.653+08:00,new
,type,profile-related-form,new
