source_key,source_type,destination_key,destination_type,data_type,data_source,data_format,data_transformation,default_value,lookup_value
organization,string,organization,string,existing,original,,not required,,
profiles.civil_status,string,answers.civilStatus,string,existing,original,,not required,,
profiles.religion,string,answers.religion,string,existing,original,,not required,,
profiles.education,string,answers.highestEducation,string,existing,original,,not required,,
profiles.employment.nature,string,answers.employmentArea,string,existing,original,,not required,,
profiles.employment.is_employed,string,answers.employmentStatus,string,existing,original,,not required,,
user-cam.id,string,createdBy,string,existing,original,,not required,,
registered_at,timestamp,dateCreated,timestamp,existing,original,timestamp,required,,
,,dateUpdated,timestamp,new,generated,timestamp,not required,,
,,formName,string,new,generated,,not required,2.1 - AQM General Questions V1,
,,formId,string,new,generated,,not required,acnHAAVzgpQkpKP6Csf2qG,
,,type,string,new,generated,,not required,profile-related-form,
