source_key,source_type,destination_key,destination_type,data_type,data_source,data_format,data_transformation,default_value,lookup_value
organization,string,organization,string,existing,original,,not required,,
health_informations.allergies,string,answers.allergies,string,existing,original,,not required,,
health_informations.blood_sugar,string,answers.bloodSugar,integer,existing,original,,required,,
health_informations.blood_pressure.first_reading.diastole,string,answers.bp1Diastole,string,existing,original,,not required,,
health_informations.blood_pressure.first_reading.systole,string,answers.bp1Systole,string,existing,original,,not required,,
health_informations.family_history,string,answers.familyDiagnosis,string,existing,original,,not required,,
health_informations.blood_sign,string,answers.rhesusType,string,existing,original,,not required,,
health_informations.smoking_habit,string,answers.smokingHabit,string,existing,original,,not required,,
health_informations.exercise_in_a_week,string,answers.weeklyExercise,string,existing,original,,not required,,
user-cam.id,string,createdBy,string,existing,original,,not required,,
gender,string,gender,string,existing,original,,not required,,
profiles.civil_status,string,answers.civilStatus,string,existing,original,,not required,,
registered_at,timestamp,dateCreated,timestamp,existing,original,ISO 8601,required,,
,,answers.consentBloodTest,string,new,generated,,not required,N,
,,answers.dailyFiberIntake,string,new,generated,,not required,,
,,dateUpdated,timestamp,new,generated,ISO 8601,not required,2019-06-27T21:00:51.934+08:00,
,,formId,string,new,generated,,not required,aF5AuuQSBToFGyuFz9HGi9,
,,formName,string,new,generated,,not required,2.2 - AQM HealthInfo Questions V1,
,,type,string,new,generated,,not required,profile-related-form,
