source_key,source_type,destination_key,destination_type,data_type,data_source,data_format,data_transformation,default_value,lookup_value
organization,string,organization,string,existing,original,,not required,,
health_informations.blood_sugar,string,answers.bloodSugar,string,existing,original,,not required,,
health_informations.blood_type,string,answers.bloodType,string,existing,original,,not required,,
health_informations.blood_pressure.first_reading.diastole,string,answers.bp1Diastole,string,existing,original,,not required,,
health_informations.blood_pressure.first_reading.systole,string,answers.bp1Systole,string,existing,original,,not required,,
health_informations.blood_pressure.second_reading.diastole,string,answers.bp2Diastole,string,existing,original,,not required,,
health_informations.blood_pressure.second_reading.systole,string,answers.bp2Systole,string,existing,original,,not required,,
health_informations.family_history,string,answers.familyDiagnosis,string,existing,original,,not required,,
health_informations.blood_sign,string,answers.rhesusType,string,existing,original,,not required,,
health_informations.smoking_habit,string,answers.smokingHabit,string,existing,original,,not required,,
health_informations.exercise_in_a_week,string,answers.weeklyExercise,string,existing,original,,not required,,
health_informations.date_updated,timestamp,dateCreated,timestamp,existing,original,timestamp,required,,
user-cam.id,string,createdBy,string,existing,original,,not required,,
health_informations.allergies,string,answers.allergies,string,new,generated,,not required,NO,
,,answers.consentBloodTest,string,new,generated,,not required,N,
,,answers.dailyFiberIntake,string,new,generated,,not required,,
,,dateUpdated,timestamp,new,generated,,not required,2019-06-27T21:00:51.934+08:00,
,,formId,string,new,generated,,not required,a5vPWQdWiqG3oRix5ei3RJ,
,,formName,string,new,generated,,not required,2.2 - AQM HealthInfo Questions V1,
,,type,string,new,generated,,not required,profile-related-form,
,,contextName,string,new,generated,,not required,health_information,
