source_key,source_type,destination_key,destination_type,data_type,data_source,data_format,data_transformation,default_value,lookup_value
organization,string,organization,string,existing,original,,not required,,
households.no_of_families_in_the_household,string,answers.householdNumberOfFamilies,string,existing,original,,not required,,
households.type_of_house,string,answers.householdConstruction,string,existing,original,,not required,,
households.house_ownership,string,answers.householdOwnershipType,string,existing,original,,not required,,
households.neighborhood_description,string,answers.neighbourhoodType,string,existing,original,,not required,,
households.sanitary_ownership,string,answers.sanitationOwnership,string,existing,original,,not required,,
households.sanitary_type,string,answers.sanitationType,string,existing,original,,not required,,
households.amenities_present_in_house,string,answers.amenities,string,existing,original,,not required,,
households.date_updated,timestamp,dateCreated,timestamp,existing,original,timestamp,required,,
user-cam.id,string,createdBy,string,existing,original,,not required,,
,,dateUpdated,timestamp,new,generated,,not required,2019-06-27T21:00:51.934+08:00,
,,formId,string,new,generated,,not required,aBdKbMkKaRmhcUtG4KiWW5,
,,formName,string,new,generated,,not required,2.3 - AQM Household Questions V1,
,,type,string,new,generated,,not required,profile-related-form,
