source_key,source_type,destination_key,destination_type,data_type,data_source,data_format,data_transformation,default_value,lookup_value
organization,string,organization,string,existing,original,,not required,not required,
disabilities.cause,string,answers.disabilityCause,string,existing,original,,not required,,
disabilities.disabled,string,answers.disabilityHas,string,existing,original,,not required,,
disabilities.type,string,answers.disabilityType,string,existing,original,,not required,,
registered_at,timestamp,dateCreated,timestamp,existing,original,timestamp,required,,
user-cam.id,string,createdBy,string,existing,original,,not required,,
,,dateUpdated,string,new,generated,timestamp,not required,,
,,formId,string,new,generated,,not required,aoHHtLo7ZHpDcHbgNtS2xF,
,,formName,string,new,generated,,not required,2.7 - AWH Disability Questions V1,
,,type,string,new,generated,,not required,profile-related-form,
,,contextName,string,new,generated,,not required,disability,
